id	cases	file_name	md5sum	file_id	file_size
0e0df72c-33c0-4e4f-939c-a4d45a6e1ea3	[{'case_id': '0045349c-69d9-4306-a403-c9c1fa836644'}]	36125e17-48fd-4eea-874c-ed2e2e218402.rna_seq.augmented_star_gene_counts.tsv	45b96ac6c7a4f1fe0d20373d77d6bb8a	0e0df72c-33c0-4e4f-939c-a4d45a6e1ea3	4238809
111b2865-e7dc-45c9-b206-20b5713714bc	[{'case_id': 'd8d7a6c2-6427-4f47-968c-6c3affba4617'}]	6798cbfe-7aca-4f33-b4fc-162bf579a303.rna_seq.augmented_star_gene_counts.tsv	776f052bff7a529e379df6d137c7848e	111b2865-e7dc-45c9-b206-20b5713714bc	4218584
9a1c9a5a-7b3f-463b-bc9c-e06107b2aeb7	[{'case_id': 'c6086936-7544-4da0-8c0c-114166848483'}]	ecdac97e-eec5-4753-a572-8aff707178e5.rna_seq.augmented_star_gene_counts.tsv	94d0a1616f29525dbd282389d67751f0	9a1c9a5a-7b3f-463b-bc9c-e06107b2aeb7	4229779
931442ba-af81-4b68-beca-7285fc44b1df	[{'case_id': '427d0648-3f77-4ffc-b52c-89855426d647'}]	f2dda955-5a39-43c1-93a2-83953b2b91d1.rna_seq.augmented_star_gene_counts.tsv	62f442c0a47673a11906a33993fb57e3	931442ba-af81-4b68-beca-7285fc44b1df	4218167
eff9c23b-fc85-403c-8e88-86b4def8ced1	[{'case_id': '0cf0d67c-2f7f-42a6-94f3-407d0ec46c88'}]	e7c2b898-cd11-42a1-b309-b4de1ab01965.rna_seq.augmented_star_gene_counts.tsv	56d9ffbc1ed4db20827e893593f2c68b	eff9c23b-fc85-403c-8e88-86b4def8ced1	4250007
a63cca36-139d-4054-9d99-9b04ddae7ec2	[{'case_id': 'b094e8b2-8ece-4b36-8025-18073a8b873c'}]	3d05d072-d042-4c02-aaf6-ee2e589003d6.rna_seq.augmented_star_gene_counts.tsv	f2f1a4fff2ed21eac2b8fb473d13a10b	a63cca36-139d-4054-9d99-9b04ddae7ec2	4249197
5645320f-820e-45b7-b4cf-ea05085f53e3	[{'case_id': 'aa30ac3d-4216-45dd-a314-1ae192fafcb2'}]	bb06ad3a-4d73-4f88-8f3c-954dce2b38ef.rna_seq.augmented_star_gene_counts.tsv	cbb10dd04265dd6d6e94e9c3bc0a216a	5645320f-820e-45b7-b4cf-ea05085f53e3	4252595
f9432d83-a322-4f5b-9c45-7dad736005a4	[{'case_id': '4aacbc42-5ac5-4339-b9fa-c6e812084837'}]	c1f95e8e-aaaa-4090-8f64-c619aa543d1b.rna_seq.augmented_star_gene_counts.tsv	b160aee113371f9d8c86666cb196729e	f9432d83-a322-4f5b-9c45-7dad736005a4	4249407
3d075fc4-5a01-47ce-bef0-a77acf71061d	[{'case_id': '4a032bad-e726-48f2-8f39-e3acc109cc91'}]	707fad7d-f284-456a-abfa-17289b40579f.rna_seq.augmented_star_gene_counts.tsv	4cf1aac9059262bf40c0d80b1c52ff22	3d075fc4-5a01-47ce-bef0-a77acf71061d	4245511
f599be9a-0cac-4441-905c-5a6c87e7bc8c	[{'case_id': '5d1d00c6-fcae-479e-ae1e-de76efd41d98'}]	741fb6d6-364f-47a0-a262-f18235c48fc4.rna_seq.augmented_star_gene_counts.tsv	12fb1d049bfd6de69583e29e50ff1686	f599be9a-0cac-4441-905c-5a6c87e7bc8c	4252896
